userName,score,at,content
Aisah Aizz,5,2023-05-25 07:56:23,"Kenapa spaylater dan spinjaman ngga bisa dibuka applikasinya. Loading teruss, ga bisa digunakan. Belum pernah coba pake spaylater tapi malah ga bisa dibuka sama sekali, kecewa"
Noel Joe,1,2023-05-24 19:19:11,Terlalu banyak fitur fitur SAMPAH👎 dan video² pendek yg terkesan norak alay & kurang ETIS/PANTAS untuk di lihat anak² remaja (VULGAR) tidak seperti LAZADA atau Blibli yang 👍 dengan fitur² dan pembatasan konten² videonya.
Wahyu Firdaus,5,2023-05-24 15:44:35,Gratis Ongkir Sama Diskon Gak Ada Ya Lalu Saya Mau Narik Saldo Shoope Pay Gak Bisa. Perbaikan Sistem Ya.
Ayuu main yuk,1,2023-05-24 12:52:16,"Jelek banget! Aplikasi lambat kalau di buka padahal sinyal lancar. Potongan ongkir juga gak sebanyak dulu. Tolong diperbaiki, saya benar-benar tidak nyaman."
ulfa,1,2023-05-24 11:01:05,"Benci banget setiap buka shopee kenapa lemot nya parah banget banget yah, lebih kesel kalo ada event jam 12 malam itu bener bener error nya ngeselin banget. Tolong banget shopee sistem jaringan nya di perbaiki. Bukan saya doang tapi teman teman saya juga ga suka sama sistem jaringan shopee. Ini aplikasi bagus tapi minus di lemot banget."
Dewi anjani,1,2023-05-24 10:41:06,"Shopee tolong untuk pelayanan paylater di perbaiki,saya setiap pembelian pakai paylater barang pesanan selalu mengecewakan,seolah toko sangat menyepelekan sekali pembayaran pakai paylater....,kenapa bisa begitu,saya pakai paylater lazada semua barang bagus...,sesuai harapan jadi gak sia sia pakai paylater yang harga nya jauh lebih mahal....,tolong jangan bikin pembeli trauma...."
Darajat Saprudin,1,2023-05-24 10:40:10,"UI aplikasi berat. Sangat lambat untuk dioperasikan. User not friendly. Aplikasi kurang responsip, sangat berat saat dijalankan"
Abdus salam,5,2023-05-24 09:18:22,Poko nya shope sangat membantu kebutuhan. Tpi kadang2 yg bikin kecewa itu dari jasa kurir nya aja. Barang yg seharus nya sdh di terima tetapi bisa mundur 1 minggu tanpa ada keterangan yg jelas
Imam Safii,1,2023-05-24 09:13:06,Splater saya kenapa gak bisa di pakai. Saya merasa gak melakukan kesalah kenapa di bekukan. Bayar tepat waktu gak pernah lewat tetap aja. Kalau memang kesalahan salah tolong konfirmasi dan bila ada tunggakan tolong konfirmasi jangan diem diem splater saya di bekukan dan gak bisa di pakai.
Heri adii,5,2023-05-24 09:04:57,- Toko online yang bagus dan baik - Sangat lengkap - Mencakup dari negara luar juga (tetap ❤️ produk 🇲🇨) - Sistem pembayaran banyak pilihan dan mudah - Para reseller bagus dan baik Online shop recommended ⭐️⭐️⭐️⭐️⭐️👍🏻👍🏻👍🏻👍🏻👍🏻
Pengguna Google,5,2023-05-24 08:59:15,Saya baru download Shopee dan lsg belanja dan sangat membantu untuk cari barang kebutuhan pokoknya oke sangat membantu sekali untuk kaya saya belanja jadi mudah tinggal klik cari yg dibutuhkan dan bisa cod juga pokoknya mantul DECH👍
Attaya Zihan Davira,5,2023-05-24 08:14:30,"Saya selalu belanja di shopee karena selalu gratis ongkir, harga nya murah, pengiriman cepat dan banyak promonya jadi saya suka sekali..ga pernah pindah ke marketplace lainnya karna sudah jatuh cinta sama shoppe..muantaaabb👍🏻👍🏻👍🏻😍😍😍😘😘😘"
Adi Ahmad,2,2023-05-24 07:35:29,Banyak penawaran diskon tapi kadang kadang akun shope tidak bisa login padahal internet lancar banget sinyalnya oke. Respon custemer service nya kurang gercep kalo ada kendala
Wahyu Purnawan,3,2023-05-24 07:11:31,Sebelumnya bisa COD tapi pas pesan barang di toko lain gak bisa COD.. Padahal di toko sebelah saya udah bayar via shopeepay.. Nunggu lama biar bisa COD lagi padahal pengennya 2 barang tiba bareng di rumah (estimasinya sama) walaupun dari toko berbeda.. Harus meluangkan waktu senggang yg harusnya di gunakan buat keluarga.. 😊
eva rahmayani,2,2023-05-24 06:11:12,"Shopee sekarang bikin kesal baru aja mengetik mau cari barang tiba2 hilang dan keluar sendiri,tolong dong pihak dari shopee jangan buat para konsumen nya kecewa dan bikin jengkel. Pelayanan dan aplikasi nya jagan di main-mainin"
Raden Mauliandhika,5,2023-05-24 05:44:49,"Senang belanja di shoppe, selain produknya lengkap, harga nya juga termasuk murah, apalagi didukung dengan metode pembayaran pay laternya, jadi semakin dimudahkan dalam urusan berbelanja."
Abu Nur Syihabuddin,1,2023-05-24 05:33:16,"Menu yang ditampilkan dalam shopee games candy ketika ada event membuat koin hilang, harusnya yang muncul tombol main, tapi malah muncul harus lanjut pakai koin."
Muhammad Ferdi Kurniawan,5,2023-05-24 05:07:26,"saya uninstall, karena tidak bisa verifikasi no hp. Ketika input no hp pertama katanya bahwa no tersebut sudah digunakan, dan ketika input no hp yang kedua, kode verifikasi tidak muncul sama sekali di sms no hp nya. terima kasih"
choirul fikri,3,2023-05-24 04:30:02,"Dulu shopee terbaik, sekarang banyak yg ber alih ke tiktok shop. Soalnya tdk ada biaya penanganan dan free ongkirnya banyak sampai dengan 90rb plus promo2 menarik. Semoga shopee bisa berbenah."
khikmatul aisya,1,2023-05-24 03:17:45,"komplain karna paket lama tidak sampe, dan tidak ada update an resi setelah 5 hari komplain baru ada info kalo paket hilang, pas telfon nanya soal refund palah di lempar sana sini gajelas sampe pulsa abis. . telfon cs cuma buang pulsa sampe 30rb sekali telfon lebih ga kelar masalahnya, pdahal telfon juga berkali2"
Suyatno Dinafa,1,2023-05-24 02:40:39,"aplikasi SUPER LEMOT BANGET. Menghabiskan Batrey dan Waktu, jaringan super bagus, kuota banyak, Update selalu ikut. tetapi tetap aja Hp jadi panas dan hang ,karna panas dan berat"
Hoozuki SaMa,1,2023-05-24 02:05:29,"Min kok udah 2 bulan ini updatetan aplikasinya fitur pencarian produknya gak bisa nampilin produk apabila diketik katanya sih..??? Kalau pencarian pakai ”foto” baru keluar produk yang dicari yang gak ditampilkan kalau ""pakai kata2”..please perbaikin min!!!"
Asue Kon,2,2023-05-24 01:55:36,Aplikasi indo mana yang benar² amanah. Seharusnya metode cod itu boleh buka barang dan Kalo gk sesuai pesanan boleh di tolak. Dgn begitu shope baru benar² amanah dan gak ribet.
Karya Ningsih,1,2023-05-24 01:55:07,"Aplikasi buruk sekali, saya donwload aplikasi ini dan baru checkout 2 kali saja sudah tidak ada lagi voucher gratis ongkir. Padahal di akun akun teman saya biasanya ada voucher gratis ongkir yang bisa di klaim tiap hari tapi saya sudah menunggu berapa hari tidak ada lagi voucher yang bisa di klaim, masa saya harus ikut chekout di akun teman saya untuk menghindari pemborosan ongkir, sia sia dong donwload shopee. Dan lagi pengiriman shopee lambat..! Thanks"
Revan Azfar Baihaqi,1,2023-05-24 01:25:27,Kasus pinjaman saya dari tgl 12 & skrg tgl 24 tidak ada solusi.. Komplain ke CS sampai -+10x dan diminta trs data ntk verifikasi & di telp tim shope sampai - +3x dibilang akan cair.. Dan terakhir x di telp ternyata kasus saya msh verifikasi. Sangat2 luar biasa layanan nya.. Fungsi komplain ke CS online apa... Knapa g bilang skalian ntk verifikasi bank sampai 1 bulan - 1 tahun. Jadi sya g perlu komplain Ntk bagian CS sangat luar biasa tangani nya..kata2 yg luar biasa. Tapi HASIL KOSONG..
Candra Setiawan,5,2023-05-24 01:20:27,Mohon untuk dipertahankan pelayanan. Dan biaya yang dibebankan kepada pembeli harusnya dibebankan kepada penjual. Untuk biaya2 cukup. Jangan menambah biaya2 lagi kaya tokosebelah🫢.
Arul Aditya,1,2023-05-24 01:04:17,"Saya mau logout malah ga bisa,saya tidak ada utang piutang/transaksi yg blm dibayar tapi tdak bisa logoùt,,saya sudah tdaķ mau menggunakan shopee lagi,tapi masih saja ditolak,,terkesan pemaksaan ini aplikasi"
putra budha,3,2023-05-24 00:34:46,"Saya sangat kecewa dengan pelayanan shopee express cabang tegalalang bali,barang yang saya pesan tidak dikirimkan,!! Setelah beberapa hari saya disuruh ambil sendiri,karna saya tidakbisa mengambil,malah dikembalikan ke penjual,dan ini menyebabkan fitur COD saya nggak bisa digunakan lagi.!!! Ini kesalahan jasa kirim malah saya yg kena blokir COD nya.!!! Tolong dikasi peringatan kepada shopee exspress cabang bali tegalalang.!!!!!!"
lisda YN,1,2023-05-23 23:37:40,"Repeat order lampu karna di offlinestore gaada yg jual. Uang yg saya keluarkan untuk membeli lampu aja 600rb tapi lampunya pecah semua pas dipengiriman (udah extra buble). Tetapi dikembalikannya cuma Rp. 87.944 gacukup buat gantiin 1 lampu pecah, padahal rusak 6 6nya. Kecewa banget sumpah, padahal udah lama pakai shopee. Klaim buat pengembalian barang aja susah, giliran dikembaliin dananya gamasuk akal sedikasihnya kek ngemis. Kecewa banget lah sama pihak shopee! Tampilkan Tampilkan kutipan"
Ahmad Jaelani,2,2023-05-23 21:30:43,"Sering potong ongkir dari penjual,penjual jadi rugi padahal biasanya juga ngga pake ekspedisi yang di pake sudah lama ini alasannya pengiriman di luar kecamatan alamat toko,biasanya juga pengiriman aman tidak pakai ongkir dari penjual,ini penjual malah di kenakan ongkir,jadi mines bukan ada keuntungan 😔"
Omponk,3,2023-05-23 19:33:15,Saya turunin bintang.. semakin kesini berat aplikasi nya update selalu tidak di pertimbangkan performa pada setiap ponsel.. percuma pakai Shopee Lite juga..
syahrul f,1,2023-05-23 17:45:46,"App semakin gajelas, load app terlalu lama, memori juga masih longgar, respon app kurang, tolong min perbaiki lagi sistem app nya biar gk terlalu lama respon di app nya"
yuda pratamaa,2,2023-05-23 15:59:56,"Gimana sih ini akun saya mau daftar paylater masa gabisa mulu, sudah coba beberapa kali bahkan sudah setahun lebih saya daftar paylater tidak di acc, selalu menunggu bulan berikut nya udh mencoba terus hasilnya sama begitu terus udah 15 kali di coba hasilnya zonk. Padahal saya selalu belanja di Shopee dan pakai apk ini udah lama sekali.. Sy selaku pengguna Shopee sangat kecewa. Ada apa??"
Yuwana Galih Nugrahatama,4,2023-05-23 15:59:39,"Mohon aplikasi lebih dioptimalkan agar berjalan lancar di hp kelas menengah ke bawah. Fitur yang tidak penting dikurangi saja. Satu lagi, tambahkan ""mode gelap atau dark mode"" agar bisa dilihat dengan nyaman di malam hari Terima kasih"
Eko Putra,3,2023-05-23 15:54:56,"Ngelag ,loading berat khusus shopee aja, sudah update sudah relogin, sudah hapus sampah, jaringan full speed di aplikasi lain ,cuman di shopee berat banget tolong perbaiki, hp saya ga kentang qualcom 870"
Wa Sawianti (Anti),3,2023-05-23 15:15:09,"Maaf kenapa system pembayaran google play bisa otomatis di shopeypay tidak ada konfirmasi apa² ini gimana sih,, saldo shopeypay saya kepotong🙏 Sudah saya cek tapi tidak ada langganan apa², gimana dong ini tolong di perbaiki agar dana saya bisa kembali lagi😭"
fauzan ochan,5,2023-05-23 14:31:45,"saya merasa sangat puas selama berbelanja di shopee selain banyak gratis ongkir ,pelayanannya bagus,apalagi fitur shopeepaylatternya sangat membantu pas lg gk uang hee pokoknya trimkasih banyak buat shopee"
Arman Nurhamdan,5,2023-05-23 14:05:20,"Sarangnya para penipuan saya kehilangan uang 1,6juta sekarang saldo di shopeepay gua gak bisa di pake karena salah pin dan saya mau ganti pinnya gagal karena keamanan. Kemarin kehilangan 1,6juta sekarang 265ribu. Ya Alhamdulillah walaupun saya sering kena tipu disini tapi costumer servicenya memuaskan ketika saya melaporkan toko penjual langsung siap memblokir toko tersebut tidak seperti aplikasi lain butuh proses yang ribet udah itu gagal dilaporkan. Sekali lagi terimakasih banyak"
Siaguga Lifirda,5,2023-05-23 14:02:34,"Tidak/belum ada yang mengecewakan belanja di shopee, harga setara produk, dan semuanya ok. Free ongkirya juga jalan. Tapiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii Hati hati kalau koment kayak ini ni, Nanti nanti pasti bakalan ada seng jua'il. 🤣🤣🤣"
Reskha Haryanti,3,2023-05-23 13:44:01,"semakin lama semakin jelek aja apk nya , buka apa² ngelag nya astaghfirullah pdhl jaringan bagus, buka yg lain juga lancar² aja, memo ga penuh, di tambah lagi yg kalo cekout ada banyak biaya tambahan. makin males jadinya blnja apa² dsini auto pindah ke toko sebelah deh"
Mbarep Siji,1,2023-05-23 12:45:56,"Aplikasi sangat"" mengganggu kenyamanan ponsel.selalu muncul jadi iklan.padahal saya sama sekali tidak tertarik.sama Shopie....!!!"
Bunaiya Abdul Fathir,1,2023-05-23 12:19:32,"Bintang satu dulu, karena setiap masuk ke bagian menu shopee pasti bakal lelet Mulu. Padahal jaringan stabil, koneksi juga lagi cepat tiba buka aplikasi shopee terus lelet. Mohon diperbaiki"
imiimo,2,2023-05-23 12:14:41,"App lebih berat drpd app sebelah, mohon cek toko-toko fiktif yang merugikan konsumen, kasih pilihan kurir yang benar-benar kompeten, sering melebihi estimasi, shopee food juga sering lag, driver masih dimana tau-tau udah sampai lokasi. Edit : habis update makin berat aja sih, ga ada perubahan dan ga ada tanggapan serius."
Yhogig_ Sr,1,2023-05-23 12:11:26,"Sudah member silver, CO sudah 20x lebih & transaksi transfer berkali kali tp spaylater gk bisa di gunakan, komplainpun percuma, jawaban otomatis tidak ada tindakan !"
Yusril Amri,1,2023-05-23 12:05:11,"Makin lama shopee makin ngebug, padahal sudah selalu di update masij tetep saja begitu, loading lama banget ga muncul muncul, putih semua layarnya, saya rasa ini apk nya sangat berat, padahal jaringan full tidak ada kendala masalah jaringan, di apk lain bagus bagus saja, tapi dishopee ngebugnya keterlaluan, mohon segera diperbaiki"
AhmadBadrudin uud,2,2023-05-23 11:53:49,"Aplikasi hari semakin hari semakin kacau, LEMOT, LELET, jangan bilang pastikan memory cukup, ini memory gw masih banyak, jangan nanya internet mau pakai data atau WiFi sama aja lemot, jangan bilang restar HP, dll intinya engga ada perubahan sama sekali tetep lemottttttt"
Suhrul Anam,1,2023-05-23 11:25:06,"Kenapa saya ga bisa ajukan shopee pinJam lagi, belum klik AJUKAN sudah ada tulisan pengajuan pinjamanmu gagal, padahal saya sudah lunasin semua sudah lama!!! Buat apa fitul Shopee pinjam kalo tidak bisa di gunakan!!! Pdhl saya pelanggan shopee sudah lama!! Sangat kecewa pdhl saya lagi butuh banget"
Eengsuhendar Suhendar,5,2023-05-23 11:06:57,Aplikasi mantap luar biasa sangat berguna buat yg punya gajih bulan bisa beli barang bayar bulan depan Maksih shopee Tapi kapan ya saya dapat kesempatan pinjem uang di shopee...masa saya belum dapat
Lestari Hutabarat,5,2023-05-23 09:00:35,"Saya suka dengan aplikasi ini,karna dengan adanya aplikasi ini memudahkan saya untuk berbelanja Hanya saja saya ada Kendala mengenai pengiriman barang melalui jnt slalu tidak sampai padahal uda paket cod,bahkan saya tidak menikmati voucher yang tertera hanya karna paket saya digagalkan oleh jnt"
baret merah,4,2023-05-23 08:57:20,"Shopee sih ok, cuma pengiriman sangat lambat, kalau ke aceh biasanya 3hr di shopee sampai 7hr, potongan ongkirnya sih luar biasa, saya suka, cuma mohon di perbaiki jasa pengirimannya. Sukses selalu shopee."
Maranatha Sung,5,2023-05-23 08:39:21,"Bagus aplikasinya, sangat2 interaktif dan juga semua fitunya berfungsi sangat baik transparan dan memudahkan dalam berjualan berbisnis!!!! Semoga semakin maju!!!!"
Toni Starl,1,2023-05-23 07:45:55,"Hati hati bagi anda yang jauh, pengiriman dengan gratis ongkir bisa jadi sangat lama karena ternyata dikirim lewat kapal alias darat. Pertama dikasih enak terakhir kita yang dimanfaatkan. Kenapa di buat lama? Pastinya uang yang kita bayarkan lewat shoppe sangat menguntungkan untuknya. Bukan sekali yang perbuatan shoppe untuk saya melainkan berkali-kali. Barang yang sudah dikirim tidak bisa diklaim apapun alasannya, jadi kalau estimasi sampai lewat dari 10 hari artinya anda kejebak"
Black cat,1,2023-05-23 07:30:53,Shopee payah euii Spinjam ku masih belum tersedia.. Di minta transaksi lebih byk di shopee.. Harus sebanyak apalagi coba Dah langganan bertahun2 di shopee masih di bilang belum tersedia Spaylater juga gitu.. Masih jauh juga tgl jatuh tempo dah di teror mulu ama pihak shopee hadeeehhhh Bisa kabur lama2 pelanggan kalo kayak gini caranya 😊
